External ID	Inherited View	Model	Sequence	View Name	View Type	Controller Page	Controller Page/Can Publish	Controller Page/Domain	Controller Page/Listing view	Controller Page/Sequence	Controller Page/The name is used to generate the URL and is shown in the browser title bar	Controller Page/View inheritance mode	Groups
website.contactus			16	Contact Us	QWeb
records_management.container_detail			16	Container Detail	QWeb
records_management.container_summary_report			16	Container Summary Report	QWeb
website.cookie_policy			16	Cookie Policy	QWeb
website.cookies_bar	Main layout		16	Cookies Bar	QWeb
			16	Copy of Home	QWeb
website.s_countdown			16	Countdown	QWeb
website_sale.coupon_form			16	Coupon form	QWeb
website_slides.course_card			16	Course Card	QWeb
website_slides.course_card_information			16	Course Information	QWeb
website_slides.course_main			16	Course Main	QWeb
website_slides.course_nav			16	Course Navigation Header	QWeb
website_slides.course_slides_list_placeholder			16	Course Placeholder Content	QWeb
website_slides.course_slides_list_sample			16	Course Sample Content	QWeb
website_slides.course_sidebar			16	Course Sidebar (infos, CTA)	QWeb
website.s_cover			16	Cover	QWeb
mass_mailing.s_cover			16	Cover	QWeb
base.view_model_menu_create		wizard.ir.model.menu.create	16	Create Menu	Form
helpdesk_fsm.create_fsm_task_view_form		helpdesk.create.fsm.task	16	Create a new FSM task from this ticket	Form
stock.search_customer_lot_filter		stock.lot.report	16	Customer Lots Filter	Search
point_of_sale.pos_daily_sales_report_layout			16	Daily Sales Report layout	QWeb
